俶傥,P1
惓惓,P1
哀婉,P1
哀艳,P1
蔼蔼,P1
蔼然,P1
蔼然可亲,P1
蔼如,P1
碍事,P1
安安静静,P1
安安稳稳,P1
安定,P1
安顿,P1
安分,P1
安好,P1
安静,P1
安康,P1
安澜,P1
安乐,P1
安宁,P1
安全,P1
安然,P1
安然无事,P1
安然无恙,P1
安如磐石,P1
安如泰山,P1
安生,P1
安适,P1
安泰,P1
安恬,P1
安稳,P1
安详,P1
安逸,P1
安谧,P1
按期,P1
按时,P1
昂昂,P1
昂藏,P1
昂然,P1
傲然,P1
奥博,P1
奥妙,P1
巴结,P1
拔尖,P1
拔尖儿,P1
拔俗,P1
把牢,P1
把稳,P1
把细,P1
白纸黑字,P1
百不一失,P1
百读不厌,P1
百废俱兴,P1
百里挑一,P1
百炼成钢,P1
百听不厌,P1
百无一失,P1
百依百顺,P1
百折不回,P1
百折不挠,P1
百折不挠地,P1
板板正正,P1
板实,P1
板正,P1
半公开,P1
半透明,P1
膀大腰圆,P1
膀阔腰圆,P1
磅礴,P1
保存良好,P1
保皇,P1
保险,P1
保准,P1
饱学,P1
宝贵,P1
悲壮,P1
倍儿棒,P1
奔放,P1
本质,P1
笨鸟先飞,P1
逼真,P1
笔挺,P1
笔直,P1
毕恭毕敬,P1
闭月羞花,P1
必备,P1
必不可少,P1
必需,P1
必要,P1
鞭辟近里,P1
鞭辟入里,P1
便当,P1
便捷,P1
便利,P1
便民,P1
便宜,P1
变通,P1
辩证,P1
标定,P1
标致,P1
标准,P1
彪炳,P1
彪炳千古,P1
彪炳史册,P1
彪悍,P1
彪形,P1
彪壮,P1
表观,P1
表里如一,P1
表里一致,P1
别具匠心,P1
别具一格,P1
别开生面,P1
别有风味,P1
别有情趣,P1
彬彬,P1
彬彬有礼,P1
兵强马壮,P1
冰肌玉骨,P1
冰清玉洁,P1
冰雪聪明,P1
秉持公正,P1
秉公,P1
秉正,P1
秉直,P1
并茂,P1
波光粼粼,P1
波澜壮阔,P1
博大,P1
博大精深,P1
博古通今,P1
博识,P1
博闻,P1
博闻广识,P1
博闻强记,P1
博学,P1
博学多才,P1
博学多能,P1
博学多闻,P1
博雅,P1
勃勃,P1
勃勃生机,P1
不卑不亢,P1
不变,P1
不耻下问,P1
不错,P1
不大不小,P1
不大离儿,P1
不惮其烦,P1
不动摇,P1
不费吹灰之力,P1
不费力,P1
不苟,P1
不苟言笑,P1
不含糊,P1
不会腐败,P1
不会弄错,P1
不加区别,P1
不加掩饰,P1
不加渲染,P1
不简单,P1
不骄不躁,P1
不咎既往,P1
不亢不卑,P1
不可或缺,P1
不可缺,P1
不可缺少,P1
不赖,P1
不离儿,P1
不落俗套,P1
不落窠臼,P1
不难,P1
不偏不倚,P1
不屈,P1
不屈不挠,P1
不容怀疑,P1
不容置辩,P1
不容置疑,P1
不俗,P1
不同凡响,P1
不同寻常,P1
不为已甚,P1
不畏艰险,P1
不无道理,P1
不无小补,P1
不无裨益,P1
不武断,P1
不限,P1
不懈,P1
不懈怠,P1
不泄气,P1
不言而喻,P1
不厌其烦,P1
不厌其详,P1
不在话下,P1
不争,P1
不整齐,P1
不知疲倦,P1
部优,P1
才高八斗,P1
才华横溢,P1
才略过人,P1
才气横溢,P1
才思敏捷,P1
财大气粗,P1
惨淡,P1
惨烈,P1
灿烂,P1
灿烂夺目,P1
灿亮,P1
灿然,P1
苍郁,P1
缠绵,P1
昌明,P1
常规,P1
长治久安,P1
敞开,P1
敞开儿,P1
敞口,P1
敞亮,P1
畅达,P1
畅顺,P1
超拔,P1
超尘拔俗,P1
超等,P1
超凡入圣,P1
超凡脱俗,P1
超级,P1
超绝,P1
超群,P1
超群绝伦,P1
超俗,P1
超俗绝世,P1
超逸,P1
超卓,P1
朝气勃勃,P1
朝气蓬勃,P1
车水马龙,P1
沉寂,P1
沉静,P1
沉稳,P1
沉毅,P1
沉鱼落雁,P1
沉着,P1
称身,P1
成器,P1
成趣,P1
成熟,P1
澄碧,P1
澄澈,P1
澄净,P1
澄明,P1
澄清,P1
诚恳,P1
诚朴,P1
诚实,P1
诚心,P1
诚心诚意,P1
诚挚,P1
诚笃,P1
承平,P1
吃得开,P1
吃香,P1
持平,P1
持正不阿,P1
持之有故,P1
持重,P1
驰名,P1
驰誉,P1
赤忱,P1
赤诚,P1
赤胆,P1
赤胆忠心,P1
赤裸,P1
赤裸裸,P1
赤色,P1
赤心,P1
炽盛,P1
崇高,P1
初生牛犊般,P1
出类拔萃,P1
出色,P1
出身高贵,P1
出身名门,P1
出神入化,P1
出手不凡,P1
出手大方,P1
出以公心,P1
出众,P1
楚楚,P1
楚楚动人,P1
楚楚可怜,P1
楚楚可人,P1
传神,P1
传统,P1
窗明几净,P1
创造性,P1
春光明媚,P1
春秋鼎盛,P1
春秋正富,P1
春色满园,P1
春意融融,P1
醇和,P1
醇厚,P1
醇美,P1
醇浓,P1
醇朴,P1
醇香,P1
唇红齿白,P1
淳厚,P1
淳美,P1
淳朴,P1
纯粹,P1
纯厚,P1
纯洁,P1
纯净,P1
纯朴,P1
纯熟,P1
纯一,P1
纯真,P1
纯正,P1
纯挚,P1
纯种,P1
绰约,P1
绰约多姿,P1
慈悲,P1
